bug_report,file,first_appear,last_appear,reason
https://bugzilla.mozilla.org/show_bug.cgi?id=1540221,layout/base/nsLayoutUtils.cpp,63,65,
https://bugzilla.mozilla.org/show_bug.cgi?id=1546327,js/src/frontend/BytecodeEmitter.cpp,65,65,
https://bugzilla.mozilla.org/show_bug.cgi?id=1546544,dom/workers/RuntimeService.cpp,63,65,
https://bugzilla.mozilla.org/show_bug.cgi?id=1400563,netwerk/sctp/src/netinet/sctp_callout.c,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1400563,netwerk/sctp/src/netinet/sctp_indata.c,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1400563,netwerk/sctp/src/netinet/sctp_pcb.c,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1400563,netwerk/sctp/src/netinet/sctp_ss_functions.c,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1400563,netwerk/sctp/src/netinet/sctp_usrreq.c,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1507696,gfx/angle/checkout/src/libANGLE/Texture.cpp,64,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionCompressedTextureASTC.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionDebugShaders.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionDisjointTimerQuery.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionDrawBuffers.cpp,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionInstancedArrays.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionLoseContext.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionMOZDebug.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1515052,dom/canvas/WebGLExtensionVertexArray.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1533522,dom/canvas/WebGLTextureUpload.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1535482,js/src/jit/arm/CodeGenerator-arm.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1535482,js/src/jit/mips-shared/CodeGenerator-mips-shared.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1535482,js/src/wasm/WasmGenerator.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1539759,parser/htmlparser/nsExpatDriver.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1544386,js/src/jit/MCallOptimize.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1544386,js/src/jit/MIR.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1547266,netwerk/protocol/http/Http2Push.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1547266,netwerk/protocol/http/Http2Session.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1547266,netwerk/protocol/http/Http2Stream.cpp,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1547472,gfx/layers/ProfilerScreenshots.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1547472,gfx/layers/composite/CompositorScreenshotGrabber.cpp,63,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1548611,js/src/jit/Recover.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1548822,netwerk/protocol/http/nsHttpConnectionMgr.cpp,65,66,
https://bugzilla.mozilla.org/show_bug.cgi?id=1501152,dom/indexedDB/ActorsParent.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1501152,dom/indexedDB/KeyPath.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1539595,browser/components/about/AboutRedirector.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1539595,dom/base/ChromeUtils.cpp,67,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1539595,dom/ipc/ContentChild.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1539595,js/xpconnect/loader/ScriptPreloader.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551913,toolkit/components/maintenanceservice/serviceinstall.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551913,toolkit/components/maintenanceservice/usertoken.cpp,66,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551913,toolkit/mozapps/update/common/commonupdatedir.cpp,66,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551913,toolkit/mozapps/update/common/updatehelper.cpp,66,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551913,toolkit/mozapps/update/common/win_dirent.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1555838,gfx/skia/skia/src/utils/SkPolyUtils.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1555838,gfx/skia/skia/src/utils/SkShadowTessellator.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1562033,parser/html/nsHtml5Tokenizer.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1562033,parser/html/nsHtml5TreeBuilder.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1564449,dom/html/ImageDocument.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1564449,dom/html/PluginDocument.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1564449,dom/html/VideoDocument.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1568397,js/src/jit/IonAnalysis.cpp,65,67,
