release,classifier,parameters,feature_type,technique,val_auc,accuracy,precision,recall,gmean,auc,f1,mcc,recall_u,gmean_pu,val_time,train_time,pred_time,recall_o,precision_o,fpr,fpr_o
74,rf,alpha_0.8,bert,propagation1,0.731,0.87,0.0,0.0,0.0,0.35,0.0,0.049,0.579,0.0,4889.068,147.477,0.216,0.55,0.026785714285714284,0.12687950566426365,0.12421009012742157
74,rf,alpha_0.8,bert,propagation2,0.731,0.667,0.0,0.333,0.01,0.546,0.001,0.039,0.825,0.334,4875.754,193.506,0.229,0.8,0.014874496436318562,0.33223480947476824,0.32932767015435616
81,rf,"{'max_depth': 2, 'max_features': 0.01, 'max_leaf_nodes': 30, 'n_estimators': 440}",bert,baseline,0.803,0.843,0.003,0.714,0.049,0.831,0.007,0.04,0.545,3.245,5448.639,4.376,0.247,0.6111111111111112,0.007260726072607261,0.15680166147455865,0.1563572096891569
81,rf,"{'max_depth': 2, 'max_features': 0.01, 'max_leaf_nodes': 30, 'n_estimators': 440}",bert,adaptation,0.803,0.818,0.003,0.714,0.045,0.84,0.006,0.036,0.545,2.803,5450.415,2.446,0.221,0.6111111111111112,0.006271379703534778,0.18161993769470408,0.1812038673458779
81,rf,alpha_0.8,bert,propagation1,0.803,0.743,0.002,0.714,0.038,0.895,0.004,0.032,0.727,1.982,5459.589,28.101,0.245,0.7222222222222222,0.005239822652156389,0.2571131879543095,0.25657552760162183
81,rf,alpha_0.8,bert,propagation2,0.803,0.793,0.003,0.857,0.051,0.922,0.006,0.041,0.636,3.549,5455.776,33.904,0.274,0.7222222222222222,0.006516290726817042,0.2065420560747664,0.20605052500259902
81,rf,"{'max_depth': 2, 'max_features': 0.01, 'max_leaf_nodes': 30, 'n_estimators': 440}",bert,biased,0.803,0.764,0.002,0.714,0.04,0.847,0.004,0.031,0.636,2.158,5491.84,20.375,5.158,0.6666666666666666,0.0052677787532923615,0.23603322949117345,0.23557542364071105
75,rf,"{'max_depth': 5, 'max_features': 0.07739375866440486, 'max_leaf_nodes': 342, 'n_estimators': 248}",bert,baseline,0.804,0.575,0.0,0.333,0.009,0.537,0.0,0.028,0.837,0.262,5544.692,22.245,0.165,0.8076923076923077,0.010137581462708182,0.42460276781137873,0.4225221512466516
81,rf,prune_by_noise_rate_0,bert,pruning,0.803,0.691,0.002,0.857,0.042,0.825,0.004,0.029,0.636,2.374,5458.24,15.345,0.223,0.7222222222222222,0.004358028830036876,0.30913811007268954,0.3087639047718058
75,rf,"{'max_depth': 5, 'max_features': 0.07739375866440486, 'max_leaf_nodes': 342, 'n_estimators': 248}",bert,adaptation,0.804,0.684,0.0,0.333,0.01,0.501,0.001,0.03,0.714,0.354,5549.319,17.12,0.168,0.6923076923076923,0.011737854581023801,0.3143003587903639,0.3122810632598393
81,rf,prune_by_noise_rate_0,bert,flipping,0.803,0.843,0.003,0.714,0.049,0.831,0.007,0.04,0.545,3.245,5472.557,15.975,0.227,0.6111111111111112,0.007260726072607261,0.15680166147455865,0.1563572096891569
75,rf,"{'max_depth': 5, 'max_features': 0.07739375866440486, 'max_leaf_nodes': 342, 'n_estimators': 248}",bert,biased,0.804,0.889,0.0,0.0,0.0,0.532,0.0,0.043,0.51,0.0,5550.534,24.806,4.009,0.4807692307692308,0.023719165085388995,0.10804715530497178,0.10601689676488768
75,rf,alpha_1.1,bert,propagation1,0.804,0.765,0.0,0.0,0.0,0.432,0.0,0.04,0.755,0.0,5562.553,93.671,0.168,0.7115384615384616,0.016270888302550572,0.2331112250128139,0.23047599423037302
81,rf,"{'max_depth': 10, 'max_features': 0.6749357966046098, 'max_leaf_nodes': 303, 'n_estimators': 128}",bert,manual_cleaning,0.932,0.941,0.007,0.571,0.063,0.913,0.014,0.084,0.909,5.53,5586.782,114.233,0.086,0.7777777777777778,0.02460456942003515,0.05867082035306337,0.057698305437155595
75,rf,alpha_1.1,bert,propagation2,0.804,0.428,0.0,0.667,0.015,0.5,0.001,0.026,0.939,0.777,5550.191,140.774,0.22,0.9230769230769231,0.008600609209819029,0.5719118400820092,0.5700597568514321
74,rf,prune_by_noise_rate_0,bert,pruning,0.731,0.801,0.0,0.0,0.0,0.365,0.0,0.041,0.649,0.0,4874.387,120.702,0.212,0.6166666666666667,0.019412381951731374,0.19629248197734295,0.1936185641769398
74,rf,prune_by_noise_rate_0,bert,flipping,0.731,0.853,0.0,0.0,0.0,0.248,0.0,0.045,0.579,0.0,4894.602,131.213,0.219,0.55,0.023605150214592276,0.14397528321318231,0.14140681653372011
72,rf,"{'max_depth': 2, 'max_features': 0.03785270911806026, 'max_leaf_nodes': 234, 'n_estimators': 208}",bert,baseline,0.774,0.711,0.001,0.667,0.022,0.714,0.001,0.031,0.603,1.55,5986.774,8.834,0.128,0.6060606060606061,0.01444043321299639,0.2865424430641822,0.2844638949671773
76,rf,"{'max_depth': 2, 'max_features': 0.326907689509355, 'max_leaf_nodes': 488, 'n_estimators': 287}",bert,baseline,0.695,0.773,0.003,0.24,0.026,0.497,0.005,-0.01,0.093,0.259,5899.052,99.634,0.164,0.12698412698412698,0.003686635944700461,0.222130979265038,0.2227947238252267
76,rf,"{'max_depth': 2, 'max_features': 0.326907689509355, 'max_leaf_nodes': 488, 'n_estimators': 287}",bert,biased,0.695,0.917,0.003,0.08,0.015,0.492,0.005,-0.008,0.023,0.083,5886.983,59.474,4.071,0.031746031746031744,0.0026595744680851063,0.07698624512420449,0.07728771640560594
75,rf,prune_by_noise_rate_0,bert,flipping,0.804,0.575,0.0,0.333,0.009,0.537,0.0,0.028,0.837,0.262,5562.168,78.022,0.152,0.8076923076923077,0.010137581462708182,0.42460276781137873,0.4225221512466516
67,rf,"{'max_depth': 2, 'max_features': 0.01, 'max_leaf_nodes': 26, 'n_estimators': 457}",bert,baseline,0.791,0.602,0.005,0.9,0.066,0.897,0.01,0.065,0.853,2.039,6176.16,4.422,0.24,0.8551724137931035,0.032934926958831344,0.39625634517766495,0.3902046940306505
75,rf,prune_by_noise_rate_0,bert,pruning,0.804,0.837,0.0,0.0,0.0,0.645,0.0,0.039,0.592,0.0,5606.511,74.136,0.146,0.5576923076923077,0.018471337579617834,0.16094310609943618,0.15876777251184837
73,rf,"{'max_depth': 13, 'max_features': 0.023817482363820756, 'max_leaf_nodes': 113, 'n_estimators': 132}",bert,adaptation,0.959,0.857,0.005,0.538,0.053,0.788,0.01,0.058,0.62,2.055,6257.95,4.881,0.132,0.5901639344262295,0.026335040234089245,0.1405394233750129,0.1382282687714197
73,rf,alpha_1.0,bert,propagation2,0.959,0.816,0.005,0.615,0.053,0.831,0.009,0.054,0.66,2.08,6228.303,39.459,0.135,0.639344262295082,0.022108843537414966,0.1814611966518549,0.1791463287984214
76,rf,alpha_1.2,bert,propagation1,0.695,0.846,0.003,0.16,0.021,0.477,0.005,-0.002,0.116,0.173,5816.153,367.997,0.142,0.12698412698412698,0.005521048999309869,0.148326832272634,0.14849546578730421
73,rf,"{'max_depth': 13, 'max_features': 0.023817482363820756, 'max_leaf_nodes': 113, 'n_estimators': 132}",bert,biased,0.959,0.851,0.005,0.538,0.052,0.851,0.01,0.054,0.6,1.981,6261.629,15.136,3.442,0.5737704918032787,0.02468265162200282,0.1458096517515759,0.1436286218714301
73,rf,alpha_1.0,bert,propagation1,0.959,0.812,0.004,0.615,0.052,0.8,0.009,0.053,0.66,2.036,6257.976,32.708,0.12,0.639344262295082,0.021642619311875694,0.18538803348145083,0.18309274067919823
67,rf,alpha_1.0,bert,propagation1,0.791,0.649,0.006,0.95,0.074,0.919,0.011,0.073,0.837,2.577,6295.025,24.184,0.238,0.8482758620689655,0.037059355227478157,0.3489847715736041,0.342514199978566
63,rf,"{'max_depth': 6, 'max_features': 0.04381264206184507, 'max_leaf_nodes': 26, 'n_estimators': 413}",bert,biased,0.813,0.709,0.015,0.784,0.108,0.841,0.029,0.095,0.741,2.126,6297.501,28.909,4.612,0.748792270531401,0.057258958256372366,0.2866817155756207,0.27899857876899525
67,rf,"{'max_depth': 2, 'max_features': 0.01, 'max_leaf_nodes': 26, 'n_estimators': 457}",bert,biased,0.791,0.671,0.006,0.9,0.072,0.874,0.012,0.072,0.798,2.477,6338.591,19.847,4.842,0.8068965517241379,0.0377541142303969,0.3258248730964467,0.3195798949737434
76,rf,alpha_1.2,bert,propagation2,0.695,0.491,0.003,0.6,0.043,0.593,0.006,-0.001,0.442,0.711,5833.778,462.128,0.15,0.47619047619047616,0.00606550748079256,0.5061588996099364,0.5065952184666117
73,rf,prune_by_noise_rate_0.0050668958617858945,bert,flipping,0.959,0.864,0.006,0.615,0.062,0.844,0.012,0.06,0.58,2.823,6261.183,23.529,0.12,0.5737704918032787,0.026923076923076925,0.1335124522062623,0.1313739744521757
73,rf,prune_by_noise_rate_0.0050668958617858945,bert,pruning,0.959,0.883,0.006,0.538,0.058,0.845,0.012,0.059,0.54,2.524,6268.957,23.57,0.114,0.5245901639344263,0.028751123090745734,0.11429161930350318,0.11226503271367738
79,rf,"{'max_depth': 8, 'max_features': 0.12073814270234184, 'max_leaf_nodes': 401, 'n_estimators': 93}",bert,adaptation,0.604,0.996,0.0,0.0,0.0,0.516,0.0,0.0,0.0,,6417.983,7.223,0.071,0.0,0.0,0.0,0.0
79,rf,"{'max_depth': 8, 'max_features': 0.12073814270234184, 'max_leaf_nodes': 401, 'n_estimators': 93}",bert,biased,0.604,0.849,0.005,0.269,0.036,0.684,0.009,0.025,0.571,0.485,6401.007,17.044,2.907,0.3684210526315789,0.009517335146159076,0.14903797210628122,0.14850677810620727
79,rf,alpha_1.2,bert,propagation1,0.604,0.937,0.017,0.385,0.08,0.777,0.032,0.072,0.643,2.412,6389.753,45.737,0.061,0.4473684210526316,0.028145695364238412,0.06047032474804026,0.05983080216083991
79,rf,"{'max_depth': 8, 'max_features': 0.12073814270234184, 'max_leaf_nodes': 401, 'n_estimators': 93}",bert,baseline,0.604,0.969,0.007,0.077,0.023,0.518,0.013,0.026,0.214,0.209,6457.882,14.352,0.073,0.13157894736842105,0.017921146953405017,0.028199124503715756,0.02792783610233407
79,rf,alpha_1.2,bert,propagation2,0.604,0.957,0.024,0.385,0.097,0.852,0.046,0.087,0.571,3.528,6398.263,82.651,0.109,0.42105263157894735,0.0387409200968523,0.04102616308663343,0.04046478442564472
72,rf,"{'max_depth': 2, 'max_features': 0.03785270911806026, 'max_leaf_nodes': 234, 'n_estimators': 208}",bert,adaptation,0.774,0.518,0.0,0.667,0.017,0.682,0.001,0.021,0.73,0.926,6505.814,4.239,0.142,0.7272727272727273,0.010344827586206896,0.4801242236024845,0.47848285922684175
67,rf,"{'max_depth': 2, 'max_features': 0.01, 'max_leaf_nodes': 26, 'n_estimators': 457}",bert,adaptation,0.791,0.516,0.004,0.9,0.059,0.883,0.008,0.053,0.86,1.675,6517.557,3.913,0.264,0.8620689655172413,0.027280663465735485,0.48265651438240276,0.47765512806773125
72,rf,"{'max_depth': 2, 'max_features': 0.03785270911806026, 'max_leaf_nodes': 234, 'n_estimators': 208}",bert,biased,0.774,0.74,0.001,0.667,0.023,0.793,0.002,0.032,0.571,1.728,6504.499,14.474,2.619,0.5757575757575758,0.015285599356395816,0.2571428571428571,0.25507971241012817
63,rf,"{'max_depth': 2, 'max_features': 0.6647310207048, 'max_leaf_nodes': 482, 'n_estimators': 413}",bert,regularize,179.433,0.802,0.018,0.627,0.106,0.804,0.035,0.097,0.589,2.045,6315.686,243.832,0.181,0.5990338164251208,0.06885063853414769,0.19015371385574542,0.1833387996064283
72,rf,alpha_1.0,bert,propagation1,0.774,0.721,0.001,0.667,0.022,0.813,0.001,0.035,0.635,1.605,6506.212,44.163,0.14,0.6363636363636364,0.015700934579439253,0.27670807453416146,0.2743565697613838
72,rf,alpha_1.0,bert,propagation2,0.774,0.724,0.001,1.0,0.034,0.915,0.002,0.044,0.698,3.642,6504.506,54.008,0.165,0.7121212121212122,0.017715793441387108,0.2743271221532091,0.27154319058038967
78,rf,"{'max_depth': 12, 'max_features': 0.2005010515591929, 'max_leaf_nodes': 61, 'n_estimators': 370}",bert,baseline,0.814,0.733,0.001,0.5,0.02,0.653,0.002,0.032,0.778,0.94,6446.547,111.255,0.286,0.7419354838709677,0.008781977854142803,0.26595528455284556,0.2645470294507286
78,rf,"{'max_depth': 12, 'max_features': 0.2005010515591929, 'max_leaf_nodes': 61, 'n_estimators': 370}",bert,adaptation,0.814,0.823,0.001,0.5,0.024,0.664,0.002,0.035,0.63,1.421,6407.787,77.903,0.273,0.6129032258064516,0.010969976905311778,0.17581300813008127,0.17456435340874354
78,rf,"{'max_depth': 12, 'max_features': 0.2005010515591929, 'max_leaf_nodes': 61, 'n_estimators': 370}",bert,biased,0.814,0.944,0.004,0.5,0.043,0.637,0.007,0.056,0.444,4.609,6413.546,76.265,5.448,0.45161290322580644,0.026217228464419477,0.054065040650406515,0.05299093039845104
67,rf,prune_by_noise_rate_0.4701343023367943,bert,flipping,0.791,0.587,0.005,0.9,0.064,0.904,0.009,0.063,0.86,1.965,6506.443,20.392,0.252,0.8620689655172413,0.03199385717942155,0.4112732656514383,0.4053156146179402
67,rf,alpha_1.0,bert,propagation2,0.791,0.641,0.006,0.95,0.073,0.924,0.011,0.07,0.822,2.519,6640.393,31.605,0.263,0.8344827586206897,0.03564064801178203,0.3570219966159053,0.35087343264387527
67,rf,prune_by_noise_rate_0.4701343023367943,bert,pruning,0.791,0.587,0.005,0.95,0.068,0.876,0.01,0.063,0.845,2.191,6539.633,18.938,0.233,0.8551724137931035,0.03177043300025621,0.41074450084602365,0.4049941056692744
72,rf,prune_by_noise_rate_0,bert,flipping,0.774,0.661,0.001,0.667,0.02,0.719,0.001,0.034,0.714,1.316,6494.645,26.704,0.138,0.7121212121212122,0.014403922770456636,0.33757763975155275,0.3351047202250703
72,rf,prune_by_noise_rate_0,bert,pruning,0.774,0.704,0.001,0.667,0.022,0.718,0.001,0.031,0.619,1.512,6505.632,26.903,0.137,0.6212121212121212,0.014431538190777896,0.29389233954451344,0.29175784099197666
79,rf,prune_by_noise_rate_0,bert,pruning,0.604,0.974,0.009,0.077,0.026,0.554,0.016,0.025,0.143,0.259,6435.598,37.118,0.068,0.10526315789473684,0.017777777777777778,0.022701822253893944,0.02252573641830602
79,rf,prune_by_noise_rate_0,bert,flipping,0.604,0.969,0.007,0.077,0.023,0.518,0.013,0.026,0.214,0.209,6423.434,41.884,0.068,0.13157894736842105,0.017921146953405017,0.028199124503715756,0.02792783610233407
66,rf,"{'max_depth': 5, 'max_features': 0.46714037620424753, 'max_leaf_nodes': 157, 'n_estimators': 284}",bert,biased,0.692,0.62,0.008,0.857,0.085,0.805,0.017,0.074,0.847,1.932,6651.219,100.57,4.403,0.8513513513513513,0.03508771929824561,0.37850765306122447,0.3727810650887574
66,rf,"{'max_depth': 5, 'max_features': 0.46714037620424753, 'max_leaf_nodes': 157, 'n_estimators': 284}",bert,adaptation,0.692,0.797,0.013,0.686,0.093,0.8,0.025,0.092,0.678,2.349,6633.074,138.979,0.15,0.6824324324324325,0.05343915343915344,0.19834183673469385,0.19246906939214636
78,rf,alpha_1.2,bert,propagation1,0.814,0.832,0.001,0.5,0.025,0.666,0.002,0.044,0.741,1.492,6443.397,415.591,0.245,0.7096774193548387,0.013341419041843541,0.1673780487804878,0.1658004687659228
69,rf,alpha_0.9,bert,propagation1,0.793,0.796,0.009,0.9,0.091,0.933,0.018,0.086,0.696,4.007,6964.581,40.412,0.353,0.7226890756302521,0.044284243048403706,0.20066750104297038,0.19559489935715035
69,rf,alpha_0.9,bert,propagation2,0.793,0.764,0.009,1.0,0.094,0.932,0.018,0.084,0.725,4.251,6963.745,51.726,0.554,0.7647058823529411,0.04026548672566372,0.23362536503963283,0.22858046158710088
